ID,Label,Code
654,NL_TSTL_TakensEstimator_n1_005_005_mi_3,"NL_TSTL_TakensEstimator(x_z,-1,0.05,0.05,{'mi',3})"
655,NL_TSTL_TakensEstimator_n1_005_005_mi_fnnmar,"NL_TSTL_TakensEstimator(x_z,-1,0.05,0.05,{'mi','fnnmar'},'default')"
656,NL_TSTL_TakensEstimator_n1_01_005_1_10,"NL_TSTL_TakensEstimator(x_z,-1,0.1,0.05,{1,10})"
657,NL_DVV_3_100_2_50_10_default,"NL_DVV(x_z,3,100,2,50,10,'default')"
658,DN_OutlierTest2,"DN_OutlierTest(x_z,2)"
659,DN_OutlierTest5,"DN_OutlierTest(x_z,5)"
660,DN_OutlierTest10,"DN_OutlierTest(x_z,10)"
661,ST_FitPolynomial_1,"ST_FitPolynomial(x_z,1)"
662,ST_FitPolynomial_2,"ST_FitPolynomial(x_z,2)"
663,ST_FitPolynomial_3,"ST_FitPolynomial(x_z,3)"
664,ST_FitPolynomial_4,"ST_FitPolynomial(x_z,4)"
665,DK_crinkle_statistic,"DK_crinkle(x_z)"
666,DK_TheilerQ,"DK_theilerQ(x_z)"
667,CP_wavelet_varchg_db3_2_10_001,"CP_wavelet_varchg(x_z,'db3',2,10,0.01)"
668,CP_wavelet_varchg_db3_3_10_001,"CP_wavelet_varchg(x_z,'db3',3,10,0.01)"
669,CP_wavelet_varchg_db3_4_10_001,"CP_wavelet_varchg(x_z,'db3',4,10,0.01)"
670,CP_wavelet_varchg_db3_5_10_001,"CP_wavelet_varchg(x_z,'db3',5,10,0.01)"
671,CP_wavelet_varchg_sym2_2_10_001,"CP_wavelet_varchg(x_z,'sym2',2,10,0.01)"
672,CP_wavelet_varchg_sym2_3_10_001,"CP_wavelet_varchg(x_z,'sym2',3,10,0.01)"
673,CP_wavelet_varchg_sym2_4_10_001,"CP_wavelet_varchg(x_z,'sym2',4,10,0.01)"
674,CP_wavelet_varchg_sym2_5_10_001,"CP_wavelet_varchg(x_z,'sym2',5,10,0.01)"
675,EN_MS_LZcomplexity_2,"EN_MS_LZcomplexity(x_z,2,[])"
676,EN_MS_LZcomplexity_3,"EN_MS_LZcomplexity(x_z,3,[])"
677,EN_MS_LZcomplexity_4,"EN_MS_LZcomplexity(x_z,4,[])"
678,EN_MS_LZcomplexity_5,"EN_MS_LZcomplexity(x_z,5,[])"
679,EN_MS_LZcomplexity_6,"EN_MS_LZcomplexity(x_z,6,[])"
680,EN_MS_LZcomplexity_7,"EN_MS_LZcomplexity(x_z,7,[])"
681,EN_MS_LZcomplexity_8,"EN_MS_LZcomplexity(x_z,8,[])"
682,EN_MS_LZcomplexity_9,"EN_MS_LZcomplexity(x_z,9,[])"
683,EN_MS_LZcomplexity_10,"EN_MS_LZcomplexity(x_z,10,[])"
684,EN_MS_LZcomplexity_2_diff,"EN_MS_LZcomplexity(x_z,2,'diff')"
685,EN_MS_LZcomplexity_3_diff,"EN_MS_LZcomplexity(x_z,3,'diff')"
686,EN_MS_LZcomplexity_4_diff,"EN_MS_LZcomplexity(x_z,4,'diff')"
687,EN_MS_LZcomplexity_5_diff,"EN_MS_LZcomplexity(x_z,5,'diff')"
688,EN_MS_LZcomplexity_6_diff,"EN_MS_LZcomplexity(x_z,6,'diff')"
689,EN_MS_LZcomplexity_7_diff,"EN_MS_LZcomplexity(x_z,7,'diff')"
690,EN_MS_LZcomplexity_8_diff,"EN_MS_LZcomplexity(x_z,8,'diff')"
691,EN_MS_LZcomplexity_9_diff,"EN_MS_LZcomplexity(x_z,9,'diff')"
692,EN_MS_LZcomplexity_10_diff,"EN_MS_LZcomplexity(x_z,10,'diff')"
693,MS_shannon_2_2,"EN_MS_shannon(x_z,2,2)"
694,MS_shannon_2_3,"EN_MS_shannon(x_z,2,3)"
695,MS_shannon_3_2,"EN_MS_shannon(x_z,3,2)"
696,MS_shannon_2t10_2,"EN_MS_shannon(x_z,2:10,2)"
697,MS_shannon_2t10_3,"EN_MS_shannon(x_z,2:10,3)"
698,MS_shannon_2t10_4,"EN_MS_shannon(x_z,2:10,4)"
699,MS_shannon_2_1t10,"EN_MS_shannon(x_z,2,1:10)"
700,MS_shannon_3_1t10,"EN_MS_shannon(x_z,3,1:10)"
701,MS_shannon_4_1t10,"EN_MS_shannon(x_z,4,1:10)"
702,MD_polvar_1_3,"MD_polvar(x_z,1,3)"
703,MD_polvar_05_3,"MD_polvar(x_z,0.5,3)"
704,MD_polvar_01_3,"MD_polvar(x_z,0.1,3)"
705,MD_polvar_1_5,"MD_polvar(x_z,1,5)"
706,MD_polvar_05_5,"MD_polvar(x_z,0.5,5)"
707,MD_polvar_01_5,"MD_polvar(x_z,0.1,5)"
708,MD_polvar_1_4,"MD_polvar(x_z,1,4)"
709,MD_polvar_05_4,"MD_polvar(x_z,0.5,4)"
710,MD_polvar_01_4,"MD_polvar(x_z,0.1,4)"
711,MD_polvar_1_6,"MD_polvar(x_z,1,6)"
712,MD_polvar_05_6,"MD_polvar(x_z,0.5,6)"
713,MD_polvar_01_6,"MD_polvar(x_z,0.1,6)"
714,CO_tc3_1,"CO_tc3(x_z,1)"
715,CO_tc3_2,"CO_tc3(x_z,2)"
716,CO_tc3_3,"CO_tc3(x_z,3)"
717,CO_tc3_ac,"CO_tc3(x_z,'ac')"
718,CO_tc3_mi,"CO_tc3(x_z,'mi')"
719,CO_trev_1,"CO_trev(x_z,1)"
720,CO_trev_2,"CO_trev(x_z,2)"
721,CO_trev_3,"CO_trev(x_z,3)"
722,CO_trev_ac,"CO_trev(x_z,'ac')"
723,CO_trev_mi,"CO_trev(x_z,'mi')"
724,IN_AutoMutualInfoStats_40_gaussian,"IN_AutoMutualInfoStats(x_z,40,'gaussian')"
725,IN_AutoMutualInfoStats_40_kraskov1_4,"IN_AutoMutualInfoStats(x_z,40,'kraskov1','4')"
726,IN_AutoMutualInfoStats_diff_20_gaussian,"IN_AutoMutualInfoStats(diff(x_z),20,'gaussian')"
727,IN_AutoMutualInfoStats_diff_20_kraskov1_4,"IN_AutoMutualInfoStats(diff(x_z),20,'kraskov1','4')"
728,CO_CompareMinAMI_std1_2_80,"CO_CompareMinAMI(x_z,'std1',[2:80])"
729,CO_CompareMinAMI_quantiles_2_80,"CO_CompareMinAMI(x_z,'quantiles',[2:80])"
730,CO_CompareMinAMI_even_2_80,"CO_CompareMinAMI(x_z,'even',[2:80])"
731,CO_CompareMinAMI_std2_2_80,"CO_CompareMinAMI(x_z,'std2',[2:80])"
732,CO_AddNoise_1_quantiles_10,"CO_AddNoise(x_z,1,'quantiles',10,'default')"
733,CO_AddNoise_ac_quantiles_10,"CO_AddNoise(x_z,'ac','quantiles',10,'default')"
734,CO_AddNoise_1_even_10,"CO_AddNoise(x_z,1,'even',10,'default')"
735,CO_AddNoise_ac_even_10,"CO_AddNoise(x_z,'ac','even',10,'default')"
736,CO_AddNoise_1_std1_10,"CO_AddNoise(x_z,1,'std1',10,'default')"
737,CO_AddNoise_ac_std1_10,"CO_AddNoise(x_z,'ac','std1',10,'default')"
738,CO_AddNoise_1_gaussian,"CO_AddNoise(x_z,1,'gaussian',[],'default')"
739,CO_AddNoise_ac_gaussian,"CO_AddNoise(x_z,'ac','gaussian',[],'default')"
740,CO_AddNoise_1_kraskov1_4,"CO_AddNoise(x_z,1,'kraskov1','4','default')"
741,CO_AddNoise_ac_kraskov1_4,"CO_AddNoise(x_z,'ac','kraskov1','4','default')"
742,SB_TransitionMatrix_21,"SB_TransitionMatrix(x_z,'quantile',2,1)"
743,SB_TransitionMatrix_31,"SB_TransitionMatrix(x_z,'quantile',3,1)"
744,SB_TransitionMatrix_41,"SB_TransitionMatrix(x_z,'quantile',4,1)"
745,SB_TransitionMatrix_51,"SB_TransitionMatrix(x_z,'quantile',5,1)"
746,SB_TransitionMatrix_2ac,"SB_TransitionMatrix(x_z,'quantile',2,'ac')"
747,SB_TransitionMatrix_3ac,"SB_TransitionMatrix(x_z,'quantile',3,'ac')"
748,SB_TransitionMatrix_4ac,"SB_TransitionMatrix(x_z,'quantile',4,'ac')"
749,SB_TransitionMatrix_5ac,"SB_TransitionMatrix(x_z,'quantile',5,'ac')"
750,SB_TransitionpAlphabet_40_1,"SB_TransitionpAlphabet(x_z,2:40,1)"
751,SB_TransitionpAlphabet_20_ac,"SB_TransitionpAlphabet(x_z,2:20,'ac')"
752,CO_AutoCorrShape_drown,"CO_AutoCorrShape(x_z,'drown')"
753,CO_AutoCorrShape_posDrown,"CO_AutoCorrShape(x_z,'posDrown')"
754,CO_Embed2_Basic_1,"CO_Embed2_Basic(x_z,1)"
755,CO_Embed2_Basic_tau,"CO_Embed2_Basic(x_z,'tau')"
756,PD_PeriodicityWang,"PD_PeriodicityWang(x_z)"
757,PH_ForcePotential_dblwell_1_02_01,"PH_ForcePotential(x_z,'dblwell',[1,0.2,0.1])"
